goos: linux
goarch: amd64
pkg: sonic-bench/rootbench
cpu: 13th Gen Intel(R) Core(TM) i9-13950HX
BenchmarkStringGet/16/Bytes                   	 4870126	        51.12 ns/op	       2 B/op	       1 allocs/op
BenchmarkStringGet/16/String                  	 5993398	        39.18 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringGet/16/String                  	 6033457	        38.90 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringGet/16/String                  	 6323239	        39.60 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringGet/16/String                  	 6068883	        39.65 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringGet/16/String                  	 5975697	        39.82 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringGet/16/Searcher                	 9086028	        26.26 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringGet/16/Searcher                	 9013705	        27.32 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringGet/16/Searcher                	 9102098	        26.94 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringGet/16/Searcher                	 8796112	        27.68 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringGet/16/Searcher                	 8563575	        27.19 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringGet/16/CopyString              	 5276451	        45.70 ns/op	       2 B/op	       1 allocs/op
BenchmarkStringGet/16/CopyString              	 5276600	        45.72 ns/op	       2 B/op	       1 allocs/op
BenchmarkStringGet/16/CopyString              	 5453970	        45.82 ns/op	       2 B/op	       1 allocs/op
BenchmarkStringGet/16/CopyString              	 5411725	        44.87 ns/op	       2 B/op	       1 allocs/op
BenchmarkStringGet/16/CopyString              	 5298778	        45.68 ns/op	       2 B/op	       1 allocs/op
BenchmarkStringGet/65536/Bytes                	 4921594	        49.65 ns/op	       2 B/op	       1 allocs/op
BenchmarkStringGet/65536/Bytes                	 4891650	        50.17 ns/op	       2 B/op	       1 allocs/op
BenchmarkStringGet/65536/Bytes                	 4822636	        49.82 ns/op	       2 B/op	       1 allocs/op
BenchmarkStringGet/65536/Bytes                	 4917740	        50.93 ns/op	       2 B/op	       1 allocs/op
BenchmarkStringGet/65536/Bytes                	 4272456	        52.72 ns/op	       2 B/op	       1 allocs/op
BenchmarkStringGet/65536/String               	 6035989	        39.86 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringGet/65536/String               	 6075841	        39.48 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringGet/65536/String               	 6072740	        39.98 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringGet/65536/String               	 6118521	        39.32 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringGet/65536/String               	 6000249	        39.56 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringGet/65536/Searcher             	 9053790	        26.57 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringGet/65536/Searcher             	 9412831	        26.44 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringGet/65536/Searcher             	 8957988	        26.83 ns/op	       0 B/op	       0 allocs/op
