goos: linux
goarch: amd64
pkg: sonic-bench/rootbench
cpu: 13th Gen Intel(R) Core(TM) i9-13950HX
BenchmarkStringGet/16/Bytes                   	 3764641	        65.51 ns/op	       2 B/op	       1 allocs/op
BenchmarkStringGet/16/Bytes                   	 3752606	        64.51 ns/op	       2 B/op	       1 allocs/op
BenchmarkStringGet/16/String                  	 2722332	        90.85 ns/op	      50 B/op	       2 allocs/op
BenchmarkStringGet/16/String                  	 2616613	        90.69 ns/op	      50 B/op	       2 allocs/op
BenchmarkStringGet/16/String                  	 2597055	        91.06 ns/op	      50 B/op	       2 allocs/op
BenchmarkStringGet/16/String                  	 2693475	        91.46 ns/op	      50 B/op	       2 allocs/op
BenchmarkStringGet/16/String                  	 2641374	        89.38 ns/op	      50 B/op	       2 allocs/op
BenchmarkStringGet/16/Searcher                	 4150734	        57.29 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringGet/16/Searcher                	 4185856	        57.90 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringGet/16/Searcher                	 4140172	        57.03 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringGet/16/Searcher                	 4264992	        56.80 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringGet/16/Searcher                	 4267968	        57.24 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringGet/16/CopyString              	 2270281	       106.2 ns/op	      98 B/op	       3 allocs/op
BenchmarkStringGet/16/CopyString              	 2235175	       107.1 ns/op	      98 B/op	       3 allocs/op
BenchmarkStringGet/16/CopyString              	 2269533	       106.9 ns/op	      98 B/op	       3 allocs/op
BenchmarkStringGet/16/CopyString              	 2148534	       112.0 ns/op	      98 B/op	       3 allocs/op
BenchmarkStringGet/16/CopyString              	 2220872	       106.7 ns/op	      98 B/op	       3 allocs/op
BenchmarkStringGet/65536/Bytes                	 3879464	        63.42 ns/op	       2 B/op	       1 allocs/op
BenchmarkStringGet/65536/Bytes                	 3859323	        64.05 ns/op	       2 B/op	       1 allocs/op
BenchmarkStringGet/65536/Bytes                	 3849985	        63.18 ns/op	       2 B/op	       1 allocs/op
BenchmarkStringGet/65536/Bytes                	 3637359	        65.40 ns/op	       2 B/op	       1 allocs/op
BenchmarkStringGet/65536/Bytes                	 3812942	        64.70 ns/op	       2 B/op	       1 allocs/op
BenchmarkStringGet/65536/String               	   53365	      4618 ns/op	   73730 B/op	       2 allocs/op
BenchmarkStringGet/65536/String               	   51132	      4620 ns/op	   73730 B/op	       2 allocs/op
BenchmarkStringGet/65536/String               	   52977	      4460 ns/op	   73730 B/op	       2 allocs/op
BenchmarkStringGet/65536/String               	   52995	      4465 ns/op	   73730 B/op	       2 allocs/op
BenchmarkStringGet/65536/String               	   50576	      4570 ns/op	   73730 B/op	       2 allocs/op
BenchmarkStringGet/65536/Searcher             	 4203586	        57.06 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringGet/65536/Searcher             	 4207382	        56.95 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringGet/65536/Searcher             	 4195641	        57.01 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringGet/65536/Searcher             	 4131156	        57.52 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringGet/65536/Searcher             	 4193817	        56.59 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringGet/65536/CopyString           	   27565	      8660 ns/op	  147458 B/op	       3 allocs/op
BenchmarkStringGet/65536/CopyString           	   27628	      8678 ns/op	  147458 B/op	       3 allocs/op
BenchmarkStringGet/65536/CopyString           	   26808	      8743 ns/op	  147458 B/op	       3 allocs/op
BenchmarkStringGet/65536/CopyString           	   28194	      8631 ns/op	  147458 B/op	       3 allocs/op
BenchmarkStringGet/65536/CopyString           	   26253	      8782 ns/op	  147458 B/op	       3 allocs/op
BenchmarkEncoder/RootStream                   	 1000000	       284.8 ns/op	     224 B/op	       3 allocs/op
BenchmarkEncoder/RootStream                   	 1000000	       279.9 ns/op	     224 B/op	       3 allocs/op
BenchmarkEncoder/RootStream                   	 1000000	       278.6 ns/op	     224 B/op	       3 allocs/op
BenchmarkEncoder/RootStream                   	 1000000	       278.7 ns/op	     224 B/op	       3 allocs/op
BenchmarkEncoder/RootStream                   	 1000000	       273.1 ns/op	     224 B/op	       3 allocs/op
BenchmarkEncoder/StdStream                    	 1632793	       146.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncoder/StdStream                    	 1619713	       146.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncoder/StdStream                    	 1682734	       143.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncoder/StdStream                    	 1684794	       143.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncoder/StdStream                    	 1625706	       146.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncoder/RootMarshal                  	  888536	       279.4 ns/op	     224 B/op	       3 allocs/op
BenchmarkEncoder/RootMarshal                  	 1000000	       278.4 ns/op	     224 B/op	       3 allocs/op
BenchmarkEncoder/RootMarshal                  	 1000000	       281.7 ns/op	     224 B/op	       3 allocs/op
BenchmarkEncoder/RootMarshal                  	 1000000	       280.8 ns/op	     224 B/op	       3 allocs/op
BenchmarkEncoder/RootMarshal                  	 1000000	       280.0 ns/op	     224 B/op	       3 allocs/op
BenchmarkEncoder/EncodeIntoReuse              	 1000000	       290.7 ns/op	     224 B/op	       3 allocs/op
BenchmarkEncoder/EncodeIntoReuse              	  947274	       290.1 ns/op	     224 B/op	       3 allocs/op
BenchmarkEncoder/EncodeIntoReuse              	 1000000	       290.4 ns/op	     224 B/op	       3 allocs/op
