"mode","benchmark","samples","median_ns_op","cv_pct","min_ns_op","max_ns_op"
"local-jsonv2","DecodeNumbers/Default","6","3038.5","16.1","2778","4227"
"local-jsonv2","DecodeNumbers/UseInt64","6","2330","12.04","2050","2918"
"local-jsonv2","DecodeNumbers/UseNumber","6","2292.5","9.59","2107","2705"
"local-jsonv2","Encoder/EncodeIntoReuse","6","266.05","9.71","247.9","316"
"local-jsonv2","Encoder/RootMarshal","6","334.45","13.47","251.3","389.8"
"local-jsonv2","Encoder/RootStream","6","247.55","8.15","215.5","264.5"
"local-jsonv2","Encoder/StdStream","6","228.6","7.71","212.2","258.9"
"local-jsonv2","GetPath","6","778.4","8.02","709.9","856.9"
"local-jsonv2","MarshalSmallStruct","6","1126","15.09","896.5","1412"
"local-jsonv2","PreorderDepth/1024","6","25768.5","15.53","22576","33294"
"local-jsonv2","PreorderDepth/256","6","6593","11","5734","7933"
"local-jsonv2","PreorderDepth/64","6","1515.5","6.29","1383","1611"
"local-jsonv2","StringDecoder/PackageDecoder","6","41653","11.92","36751","50681"
"local-jsonv2","StringDecoder/StdDecoder","6","40187.5","9.29","36206","45877"
"local-jsonv2","StringGet/16/Bytes","6","211.15","5.3","193.2","221.6"
"local-jsonv2","StringGet/16/CopyString","6","272.95","12.37","243.7","338.9"
"local-jsonv2","StringGet/16/Searcher","6","40.96","5.35","39.97","46.08"
"local-jsonv2","StringGet/16/String","6","260.5","7.51","234.6","276.2"
"local-jsonv2","StringGet/65536/Bytes","6","29442","17.83","26699","41589"
"local-jsonv2","StringGet/65536/CopyString","6","41656","14.66","34040","50907"
"local-jsonv2","StringGet/65536/Searcher","6","39.65","14.64","36.44","50.72"
"local-jsonv2","StringGet/65536/String","6","40205","19.83","35561","55070"
"local-jsonv2","UnmarshalLargeString","6","48415.5","15.42","44037","64741"
"local-jsonv2","UnmarshalMediumMap","6","21033.5","11.23","18006","23243"
"local-jsonv2","ValidMedium","6","920.05","10.45","811.9","1060"
"local-jsonv2","ValidStringLarge","6","47447.5","14.71","38337","59724"
"upstream-native","Container/10/Get","6","828.8","12.6","740.9","983.4"
"upstream-native","Container/10/LoadAll","6","1297.5","7.9","1182","1485"
"upstream-native","Container/10/SearcherDefault","6","639.5","12.03","532.5","735.3"
"upstream-native","Container/10/SearcherNoValidate","6","43.36","9.42","39.24","49.95"
"upstream-native","Container/1000/Get","6","69326","10.07","64329","82734"
"upstream-native","Container/1000/LoadAll","6","65440.5","10.43","57634","78136"
"upstream-native","Container/1000/SearcherDefault","6","54035","8.31","49837","62719"
"upstream-native","Container/1000/SearcherNoValidate","6","1855.5","7.7","1672","2102"
"upstream-native","DecodeNumbers/Default","6","883.65","11.27","812.1","1057"
"upstream-native","DecodeNumbers/UseInt64","6","752.85","14.36","658.9","957.1"
"upstream-native","DecodeNumbers/UseNumber","6","964.9","10.35","883.2","1102"
"upstream-native","Encoder/EncodeIntoReuse","6","99.26","17.05","96.04","143.6"
"upstream-native","Encoder/RootMarshal","6","152.3","25.25","142.7","254.8"
"upstream-native","Encoder/RootStream","6","139.05","11.73","124.5","168.8"
"upstream-native","Encoder/StdStream","6","139.65","21.83","129.4","216.1"
"upstream-native","GetPath","6","206.45","14.16","173","254.3"
"upstream-native","MarshalSmallStruct","6","360.1","13.95","327.3","458.4"
"upstream-native","PreorderDepth/1024","6","37639","5.71","34183","40622"
"upstream-native","PreorderDepth/256","6","9141.5","6.39","7994","9561"
"upstream-native","PreorderDepth/64","6","2115","8.98","1741","2258"
"upstream-native","StringDecoder/PackageDecoder","6","9081.5","6.3","8317","9957"
"upstream-native","StringDecoder/StdDecoder","6","36081","6.46","33592","40429"
"upstream-native","StringGet/16/Bytes","6","72.86","7.95","63.8","79.05"
"upstream-native","StringGet/16/CopyString","6","68.24","7.23","64.04","76.53"
"upstream-native","StringGet/16/Searcher","6","39.33","10.26","36.88","46.47"
"upstream-native","StringGet/16/String","6","43.1","6.51","39.38","47.11"
"upstream-native","StringGet/65536/Bytes","6","68.53","9.02","63.03","78.68"
"upstream-native","StringGet/65536/CopyString","6","65.17","13.47","62.66","86.78"
"upstream-native","StringGet/65536/Searcher","6","40.43","13.24","37.64","52.84"
"upstream-native","StringGet/65536/String","6","40.18","16.71","37.95","56.74"
"upstream-native","UnmarshalLargeString","6","19348","19.2","16620","27516"
"upstream-native","UnmarshalMediumMap","6","5646.5","14.84","4735","6844"
"upstream-native","ValidMedium","6","736.25","12.84","644.9","916.5"
"upstream-native","ValidStringLarge","6","1671","4.32","1627","1827"
